gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2239724107	fe8c1017-5941-4703-8f81-5023028a32ab	BRA:IAP:PACA-AGP:0000118819	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	Floresta Nacional de Canela	94a9c3b2-d54d-4938-811b-e91e091eeb28	-29.32125	-50.810139							2018-01-04T00:00:00Z	4	1	2018	5529698	3599338	PRESERVED_SPECIMEN	IAP	PACA-AGP	118819		Silva, V. L.		CC_BY_NC_4_0	PACA-AGP - Herbarium Anchieta	Pohlmann, J.			2019-05-13T18:03:29.392Z		GEODETIC_DATUM_ASSUMED_WGS84
2236679346	b9a43c60-d2b6-445c-9362-2db65465c963	BRA:FURB:FURB:0000063313	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	Parque Natural Municipal Recanto das Araucárias.	34e6e625-47cf-4d42-8054-af0c2f1b6e64	-24.772778	-51.731944			916.0	0.0			2018-11-23T00:00:00Z	23	11	2018	5529698	3599338	PRESERVED_SPECIMEN	Universidade Regional de Blumenau, FURB	FURB	63313	8738	Gasper, A.L. de	2019-04-11T00:00:00Z	CC_BY_NC_4_0	FURB - Herbário Dr. Roberto Miguel Klein	Caxambu, M. G.			2019-06-21T16:41:41.533Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2235421402	d415c253-4d61-4459-9d25-4015b9084fb0	ab768143-dfaf-4329-b370-b61c062e735e	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.			ae447c50-b8a8-11d8-92a4-b8a03c50a862													5529698	3599338	PRESERVED_SPECIMEN	NY	NY	04006289				CC0_1_0	The New York Botanical Garden				2019-04-09T17:32:12.812Z		
2234457017	27b4ff4b-29c3-4017-9c48-3750861392f7	00ab5562-6304-4827-9aa5-223a8ee3c2c1	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	IPEAS, Horto Botanico	0eabc674-8106-401e-9613-5f10164b562d									1973-01-24T00:00:00Z	24	1	1973	5529698	3599338	PRESERVED_SPECIMEN	NCU		NCU00137809	22914	Anonymous		CC_BY_4_0		Krapovickas, A.; Cristobal, C. L.; Quarin, C.			2019-06-21T21:11:08.271Z	STILLIMAGE	
2005865571	cbf8c968-37d6-45be-bf5c-e22914a384dc	BRA:ESALQ:ESA:0000087644	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR		a88bec5c-1cbf-47a2-8c3e-6081804d80a5									2013-03-31T00:00:00Z	31	3	2013	5529698	3599338	PRESERVED_SPECIMEN	Escola Superior de Agricultura Luiz de Queiroz, ESALQ	ESA	87644	15669	Salino, A.	2013-01-01T00:00:00Z	CC_BY_NC_4_0	ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz	Salino, A.			2019-03-01T17:46:54.107Z		
2004968007	b9a43c60-d2b6-445c-9362-2db65465c963	BRA:FURB:FURB:0000062085	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR		34e6e625-47cf-4d42-8054-af0c2f1b6e64	-27.004444	-49.070278							2018-12-14T00:00:00Z	14	12	2018	5529698	3599338	PRESERVED_SPECIMEN	Universidade Regional de Blumenau, FURB	FURB	62085	3	Gasper, A.L.	2018-12-14T00:00:00Z	CC_BY_NC_4_0	FURB - Herbário Dr. Roberto Miguel Klein	Schwartz, C.E.			2019-06-21T16:41:41.170Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1986492201	fe7e89d1-8039-43dc-a833-df08f05f36b7	BRA:UNESP-IBILCE:SJRP-PTERIDOPHYTA:0000022843	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	PEIA	92bd7d31-3255-4f1c-8552-cbb6fbe60478									2000-06-07T00:00:00Z	7	6	2000	5529698	3599338	PRESERVED_SPECIMEN	UNESP-IBILCE	SJRP-PTERIDOPHYTA	22843	154	Fernandes, I.	2000-12-15T00:00:00Z	CC_BY_NC_4_0	SJRP-Pteridophyta - Herbário de Pteridophyta de São José do Rio Preto	E.C. Smidt			2019-01-13T17:00:14.123Z		
1986491360	fe7e89d1-8039-43dc-a833-df08f05f36b7	BRA:UNESP-IBILCE:SJRP-PTERIDOPHYTA:0000017924	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	serra da mantiqueira	92bd7d31-3255-4f1c-8552-cbb6fbe60478									1997-07-12T00:00:00Z	12	7	1997	5529698	3599338	PRESERVED_SPECIMEN	UNESP-IBILCE	SJRP-PTERIDOPHYTA	17924	4121	P.G. Windisch	1997-08-01T00:00:00Z	CC_BY_NC_4_0	SJRP-Pteridophyta - Herbário de Pteridophyta de São José do Rio Preto	M.R. Pietrobom-Silva			2019-01-13T17:00:13.808Z		
1986491126	fe7e89d1-8039-43dc-a833-df08f05f36b7	BRA:UNESP-IBILCE:SJRP-PTERIDOPHYTA:0000017920	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	BR	serra da mantiqueira	92bd7d31-3255-4f1c-8552-cbb6fbe60478									1997-07-12T00:00:00Z	12	7	1997	5529698	3599338	PRESERVED_SPECIMEN	UNESP-IBILCE	SJRP-PTERIDOPHYTA	17920	4121	P.G. Windisch	1997-08-01T00:00:00Z	CC_BY_NC_4_0	SJRP-Pteridophyta - Herbário de Pteridophyta de São José do Rio Preto	M.R. Pietrobom-Silva			2019-01-13T17:00:13.632Z		
1986485851	fe7e89d1-8039-43dc-a833-df08f05f36b7	BRA:UNESP-IBILCE:SJRP-PTERIDOPHYTA:0000003568	Plantae	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea	Cyathea setosa		SPECIES	Alsophila setosa Kaulf.	PY	Reserva Biológica de Itabó	92bd7d31-3255-4f1c-8552-cbb6fbe60478									1989-05-24T00:00:00Z	24	5	1989	5529698	3599338	PRESERVED_SPECIMEN	UNESP-IBILCE	SJRP-PTERIDOPHYTA	03568	5458-B	Fernandes, I.	1995-01-01T00:00:00Z	CC_BY_NC_4_0	SJRP-Pteridophyta - Herbário de Pteridophyta de São José do Rio Preto	P.G.Windisch			2019-01-13T17:00:10.899Z		
